VIN_#,ContractStartDate,TerminationDate,SaleDate,TerminationType,PurchasingRegion,ModelYear,TrimName,ModelName,SalesChannel,CarAccident?,RepairCost,Odometer,PurchasePrice,MSRP
006428,2014-09-30,2018-08-31,2018-10-31,Terminated at End of Maturity,3,2001,TRIM_2,MODEL_C,H,Mild,500,61000,17000,41000
006429,2014-09-30,2018-02-28,2018-03-31,Terminated at End of Maturity,3,2001,TRIM_2,MODEL_C,H,No,400,76000,16000,40000
006430,2014-11-30,2018-11-30,2018-12-31,Terminated at End of Maturity,2,2001,TRIM_2,MODEL_C,E,Major,NULL,50000,16000,36000
006431,2014-10-31,2018-10-31,2018-11-30,Terminated at End of Maturity,2,2001,TRIM_2,MODEL_C,F,No,NULL,47000,18000,40000
006432,2014-10-31,2018-10-31,2018-10-31,Terminated at End of Maturity,2,2001,TRIM_2,MODEL_C,G,Moderate,NULL,75000,14000,36000
006433,2015-06-30,2018-07-31,2018-11-30,Terminated Prior to Maturity Date,2,2001,TRIM_2,MODEL_C,H,No,NULL,101000,13000,39000
006434,2014-10-31,2018-06-30,2018-06-30,Terminated Prior to Maturity Date,2,2001,TRIM_2,MODEL_C,E,No,NULL,45000,19000,39000
006435,2014-12-31,2018-11-30,2018-11-30,Terminated at End of Maturity,2,2001,TRIM_2,MODEL_C,G,No,0,48000,16000,43000
006436,2015-07-31,2019-07-31,2019-08-31,Terminated at End of Maturity,2,2001,TRIM_2,MODEL_C,G,No,NULL,79000,14000,40000
006437,2014-12-31,2018-04-30,2018-05-31,Terminated Prior to Maturity Date,2,2001,TRIM_2,MODEL_C,C,Moderate,NULL,87000,16000,44000
006438,2015-02-28,2018-11-30,2018-11-30,Terminated at End of Maturity,2,2001,TRIM_2,MODEL_C,G,No,0,77000,14000,41000
006439,2015-03-31,2018-11-30,2018-12-31,Terminated at End of Maturity,2,2001,TRIM_2,MODEL_C,F,No,NULL,77000,14000,40000
006440,2015-04-30,2018-10-31,2019-01-31,Terminated Prior to Maturity Date,2,2001,TRIM_2,MODEL_C,H,No,NULL,59000,17000,43000
006441,2014-11-30,2018-10-31,2019-01-31,Terminated at End of Maturity,2,2001,TRIM_2,MODEL_C,H,Major,NULL,71000,14000,37000
006442,2014-10-31,2018-05-31,2018-07-31,Terminated Prior to Maturity Date,1,2001,TRIM_2,MODEL_C,H,No,400,38000,19000,41000
006443,2014-12-31,2018-12-31,2018-12-31,Terminated at End of Maturity,2,2001,TRIM_2,MODEL_C,E,Moderate,NULL,61000,16000,37000
006444,2015-10-31,2019-08-31,2019-09-30,Terminated at End of Maturity,1,2001,TRIM_2,MODEL_C,H,Moderate,500,97000,12000,39000
006445,2015-04-30,2019-03-31,2019-03-31,Terminated at End of Maturity,2,2001,TRIM_2,MODEL_C,G,No,NULL,68000,14000,36000
006446,2015-03-31,2019-03-31,2019-06-30,Terminated at End of Maturity,2,2001,TRIM_2,MODEL_C,H,No,NULL,72000,17000,39000
006447,2015-03-31,2019-04-30,2019-05-31,Terminated at End of Maturity,3,2001,TRIM_2,MODEL_C,H,No,500,88000,16000,36000
006448,2015-08-31,2019-06-30,2019-06-30,Terminated at End of Maturity,2,2001,TRIM_2,MODEL_C,G,Moderate,NULL,86000,14000,39000
006449,2015-05-31,2019-05-31,2019-08-31,Terminated at End of Maturity,3,2001,TRIM_2,MODEL_C,H,No,1000,116000,11000,36000
006450,2015-05-31,2019-06-30,2019-07-31,Terminated at End of Maturity,2,2001,TRIM_2,MODEL_C,H,No,NULL,73000,13000,36000
006451,2015-06-30,2019-06-30,2019-06-30,Terminated at End of Maturity,2,2001,TRIM_2,MODEL_C,G,No,NULL,45000,16000,36000
006452,2015-05-31,2019-04-30,2019-06-30,Terminated at End of Maturity,3,2001,TRIM_2,MODEL_C,H,No,400,52000,15000,40000
006453,2015-08-31,2019-08-31,2019-08-31,Terminated at End of Maturity,2,2001,TRIM_2,MODEL_C,E,Moderate,NULL,60000,16000,40000
006454,2015-06-30,2019-06-30,2019-08-31,Terminated at End of Maturity,2,2001,TRIM_2,MODEL_C,H,No,NULL,41000,15000,41000
006455,2015-08-31,2019-08-31,2019-09-30,Terminated at End of Maturity,2,2001,TRIM_2,MODEL_C,H,No,NULL,89000,13000,39000
006456,2015-08-31,2019-07-31,2019-09-30,Terminated at End of Maturity,3,2001,TRIM_2,MODEL_C,H,Moderate,NULL,67000,13000,40000
006457,2015-06-30,2018-12-31,2019-01-31,Reposessed,4,2001,TRIM_2,MODEL_C,H,No,400,45000,18000,40000
006458,2015-07-31,2019-02-28,2019-04-30,Terminated Prior to Maturity Date,3,2001,TRIM_2,MODEL_C,H,No,1900,76000,15000,40000
006459,2015-07-31,2018-05-31,2018-07-31,Terminated at End of Maturity,1,2001,TRIM_2,MODEL_C,H,No,NULL,32000,19000,40000
006460,2015-08-31,2019-09-30,2019-10-31,Terminated at End of Maturity,2,2001,TRIM_2,MODEL_C,H,Moderate,NULL,76000,12000,41000
006461,2015-10-31,2019-11-30,2019-11-30,Terminated at End of Maturity,2,2001,TRIM_2,MODEL_C,G,No,NULL,99000,10000,41000
006462,2015-08-31,2019-09-30,2019-09-30,Terminated at End of Maturity,2,2001,TRIM_2,MODEL_C,G,No,NULL,55000,14000,38000
006463,2015-08-31,2019-08-31,2019-09-30,Terminated at End of Maturity,2,2001,TRIM_2,MODEL_C,H,Moderate,NULL,26000,15000,36000
006464,2014-06-30,2017-11-30,2018-02-28,Terminated Prior to Maturity Date,2,2001,TRIM_2,MODEL_C,H,Mild,NULL,96000,15000,39000
