Date,Impressions ,Completes,Clicks,Installs,eRPM,,
01-Jun-14," 569,044 "," 499,235 "," 28,035 "," 2,111 ", 2.953 ,,
02-Jun-14," 505,963 "," 447,695 "," 24,621 "," 1,713 ", 2.587 ,,
03-Jun-14," 492,804 "," 437,495 "," 24,070 "," 1,705 ", 2.755 ,,
04-Jun-14," 498,772 "," 442,791 "," 25,023 "," 1,801 ", 3.004 ,,
05-Jun-14," 491,463 "," 436,858 "," 24,337 "," 1,875 ", 3.243 ,,
06-Jun-14," 500,657 "," 454,702 "," 25,223 "," 1,932 ", 3.430 ,,
07-Jun-14," 564,247 "," 502,016 "," 28,127 "," 2,221 ", 3.438 ,,
08-Jun-14," 575,302 "," 512,228 "," 28,200 "," 2,203 ", 3.455 ,,
09-Jun-14," 523,689 "," 469,082 "," 25,075 "," 1,950 ", 3.272 ,,
10-Jun-14," 504,636 "," 452,753 "," 24,414 "," 1,914 ", 3.394 ,,
11-Jun-14," 506,060 "," 454,773 "," 24,637 "," 1,839 ", 3.366 ,,
12-Jun-14," 505,083 "," 452,687 "," 24,879 "," 1,812 ", 3.321 ,,
13-Jun-14," 513,106 "," 458,354 "," 26,018 "," 1,893 ", 3.488 ,,
14-Jun-14," 562,772 "," 499,196 "," 29,088 "," 2,076 ", 3.525 ,,
15-Jun-14," 586,702 "," 522,522 "," 29,163 "," 2,097 ", 3.341 ,,
16-Jun-14," 516,148 "," 462,646 "," 24,635 "," 1,805 ", 3.297 ,,
17-Jun-14," 526,671 "," 471,763 "," 25,325 "," 1,786 ", 3.333 ,,
18-Jun-14," 526,713 "," 471,137 "," 25,761 "," 1,912 ", 3.604 ,,
19-Jun-14," 531,452 "," 472,466 "," 25,361 "," 1,740 ", 3.847 ,,
20-Jun-14," 420,187 "," 373,085 "," 20,629 "," 1,360 ", 3.887 ,,
21-Jun-14," 548,785 "," 485,150 "," 27,480 "," 1,668 ", 3.694 ,,
22-Jun-14," 581,785 "," 515,575 "," 28,701 "," 1,816 ", 3.636 ,,
23-Jun-14," 526,631 "," 466,427 "," 25,462 "," 1,618 ", 3.602 ,,
24-Jun-14," 517,748 "," 455,814 "," 24,808 "," 1,715 ", 3.418 ,,
25-Jun-14," 511,505 "," 451,388 "," 24,894 "," 1,725 ", 3.408 ,,
26-Jun-14," 508,097 "," 448,333 "," 25,111 "," 1,773 ", 3.722 ,,
27-Jun-14," 518,004 "," 457,335 "," 25,832 "," 1,852 ", 3.939 ,,
28-Jun-14," 562,854 "," 494,686 "," 28,491 "," 2,041 ", 4.073 ,,.
29-Jun-14," 583,732 "," 510,194 "," 29,483 "," 2,168 ", 4.051 ,,
30-Jun-14," 537,433 "," 470,054 "," 26,669 "," 1,910 ", 3.687 ,,
,,,,,,,
Exhibit 3: Data from Test B condition,,,,,,,
